12번째: precision=0.5833, recall=0.7000, f1-score=0.6364, support=10.0000
8번째: precision=0.2000, recall=0.2000, f1-score=0.2000, support=10.0000
가깝다: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
가능: precision=0.3846, recall=0.5000, f1-score=0.4348, support=20.0000
가다: precision=0.9250, recall=0.9250, f1-score=0.9250, support=40.0000
가래떡: precision=1.0000, recall=0.5000, f1-score=0.6667, support=10.0000
가렵다: precision=0.7143, recall=0.5000, f1-score=0.5882, support=10.0000
가루약: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
가르다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
가만히: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
가명: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
가발: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
가쁘다: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
가소롭다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=8.0000
가엾다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
가정교육: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
가족회의: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
가죽신: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
가평군수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
가평군주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
가평군지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
각오: precision=0.6667, recall=0.8000, f1-score=0.7273, support=10.0000
간: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
간단하다: precision=0.6154, recall=0.8000, f1-score=0.6957, support=10.0000
간편: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
간호사: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
