가능: precision=0.6000, recall=0.7500, f1-score=0.6667, support=20.0000
가다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=40.0000
가엾다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
간호사: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
갈색: precision=0.8095, recall=0.8500, f1-score=0.8293, support=20.0000
감나무: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감옥: precision=0.9048, recall=0.9500, f1-score=0.9268, support=20.0000
강릉: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강북구지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강약: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강요: precision=0.7200, recall=0.9000, f1-score=0.8000, support=20.0000
강화군수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
거만: precision=0.7895, recall=1.0000, f1-score=0.8824, support=30.0000
거지: precision=0.9091, recall=1.0000, f1-score=0.9524, support=30.0000
검사: precision=1.0000, recall=0.9000, f1-score=0.9474, support=20.0000
검정머리: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
겨드랑이: precision=0.6000, recall=0.9000, f1-score=0.7200, support=10.0000
격노: precision=0.9630, recall=0.8667, f1-score=0.9123, support=30.0000
결벽: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
결승전: precision=1.0000, recall=0.8500, f1-score=0.9189, support=20.0000
결심: precision=0.9070, recall=0.9750, f1-score=0.9398, support=40.0000
결점: precision=0.9412, recall=0.8000, f1-score=0.8649, support=40.0000
겸임: precision=0.7037, recall=0.9500, f1-score=0.8085, support=20.0000
경기도: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
경남농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
경주시수어통역센터: precision=1.0000, recall=0.6667, f1-score=0.8000, support=15.0000
계약금: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고성군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고성시수어통역센터: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
고양시수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고양시지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고조할아버지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공범: precision=1.0000, recall=1.0000, f1-score=1.0000, support=15.0000
공식: precision=0.9500, recall=0.9500, f1-score=0.9500, support=20.0000
공식발표: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
과로: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
관계없다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
관습: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
교기: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
교장: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
교통안전교육: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구조: precision=0.8750, recall=0.7000, f1-score=0.7778, support=20.0000
구천오백: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구화: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
군산시청: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
군위군지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
군포시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
군포시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
귀엽다: precision=0.7778, recall=0.7000, f1-score=0.7368, support=20.0000
근근이: precision=0.9756, recall=1.0000, f1-score=0.9877, support=40.0000
금정구수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
급하다: precision=0.9048, recall=0.9500, f1-score=0.9268, support=20.0000
기피하다: precision=1.0000, recall=0.8000, f1-score=0.8889, support=20.0000
김포시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
꺼지다: precision=0.9123, recall=0.8667, f1-score=0.8889, support=60.0000
꿀물: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
끊다: precision=0.7895, recall=1.0000, f1-score=0.8824, support=15.0000
나: precision=0.7000, recall=0.7000, f1-score=0.7000, support=10.0000
난감하다: precision=0.8824, recall=0.7500, f1-score=0.8108, support=20.0000
남아: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
남원: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
내뱉다: precision=0.9677, recall=1.0000, f1-score=0.9836, support=30.0000
네쌍둥이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
노부모: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
놀랍다: precision=0.9655, recall=0.9333, f1-score=0.9492, support=30.0000
눈: precision=0.5926, recall=0.8000, f1-score=0.6809, support=20.0000
늙다: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
달변: precision=0.7727, recall=0.8500, f1-score=0.8095, support=20.0000
당황: precision=0.8261, recall=0.9500, f1-score=0.8837, support=20.0000
대구광역시청: precision=0.6667, recall=0.8000, f1-score=0.7273, support=10.0000
대들다: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
대물림: precision=0.7407, recall=1.0000, f1-score=0.8511, support=20.0000
대박: precision=0.9500, recall=0.9500, f1-score=0.9500, support=20.0000
대출: precision=1.0000, recall=1.0000, f1-score=1.0000, support=30.0000
더디다: precision=0.9524, recall=1.0000, f1-score=0.9756, support=20.0000
독특: precision=1.0000, recall=0.7500, f1-score=0.8571, support=20.0000
돕다: precision=0.8000, recall=0.9333, f1-score=0.8615, support=30.0000
동구지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
동대문: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
동두천: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
동상이몽: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
동작구수어통역센터: precision=0.7273, recall=0.8000, f1-score=0.7619, support=10.0000
동화책: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
두번째: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
들키다: precision=1.0000, recall=0.9333, f1-score=0.9655, support=15.0000
등록금: precision=1.0000, recall=0.9333, f1-score=0.9655, support=15.0000
떡국: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
똑똑하다: precision=0.8636, recall=0.9500, f1-score=0.9048, support=20.0000
뛰어나다: precision=0.9524, recall=1.0000, f1-score=0.9756, support=20.0000
뜻밖: precision=0.9412, recall=0.8000, f1-score=0.8649, support=20.0000
마산시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
마포구수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
막히다: precision=0.8974, recall=0.8750, f1-score=0.8861, support=40.0000
맞다: precision=0.8710, recall=0.9000, f1-score=0.8852, support=30.0000
맥없다: precision=0.8438, recall=0.9000, f1-score=0.8710, support=30.0000
맹세: precision=1.0000, recall=0.8500, f1-score=0.9189, support=20.0000
모르다: precision=0.7500, recall=0.9000, f1-score=0.8182, support=20.0000
